gene,GABAergic.LGN_Inh_CTXN3,GABAergic.LGN_Inh_LAMP5,GABAergic.LGN_Inh_NTRK1,GABAergic.LGN_Inh_TRPC4,Glutamatergic.LGN_Exc_BTNL9,Glutamatergic.LGN_Exc_PRKCG_BCHE,Glutamatergic.LGN_Exc_PRKCG_GRB14,Non-Neuronal.Astro_CPAMD8,Non-Neuronal.Astro_LGR6,Non-Neuronal.Micro_C1QB,Non-Neuronal.OPC_PDGFRA,Non-Neuronal.Oligo_MAG
ENSG00000140526,0.0,0.0,0.0,0.0,0.09699331848552338,0.0,0.0,0.0,0.0,0.0,0.2984505213702233,0.0
ENSG00000158201,0.0,0.0,0.2449922879279777,0.0,0.2776344689633031,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000100439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7335151343662979,0.0
ENSG00000011198,0.0,0.0,0.0,0.0,0.0,0.0923761339846476,0.04567779960707269,0.0,0.0,0.0,0.0,0.08708815843410536
ENSG00000163686,0.09578765147143682,0.002250514403292181,0.07335813652539631,0.0,0.0,0.09926727145847873,0.0,0.0,0.0,0.0,0.0,0.06916376306620209
ENSG00000127220,0.28933543352122204,0.10947162521110887,0.1967660152140519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000136754,0.0,0.4128903000236461,0.0,0.0,0.0,0.0,0.0,0.11966618287373006,0.19612352168199734,0.04865546218487395,0.0,0.0
ENSG00000138443,0.09888920946335834,0.0,0.0,0.07514907050157839,0.0,0.11758548499651082,0.0,0.0,0.001314060446780552,0.0,0.0,0.0
ENSG00000108798,0.0,0.0,0.0,0.0,0.05599913681484679,0.0,0.0,0.0,0.0,0.5726071378346711,0.0,0.0
ENSG00000154175,0.0,0.0,0.0,0.19888818942288267,0.0,0.0,0.0,0.4248735022927715,0.0,0.0,0.0,0.0
ENSG00000097007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07613337713534822,0.0,0.0,0.18492572794709974
ENSG00000143322,0.10328909405654932,0.0,0.011565836298932384,0.0,0.0,0.027913468248429867,0.08218762636473917,0.0,0.0,0.0,0.0,0.0
ENSG00000099204,0.0,0.0,0.17413458427693304,0.0,0.2283964365256125,0.0,0.0,0.2672612017165669,0.2045827858081472,0.0,0.0,0.0
ENSG00000163995,0.0,0.0,0.0,0.0,0.22267812325476555,0.14052686671318912,0.23911877947848556,0.0,0.0,0.0,0.0,0.0
ENSG00000173210,0.0,0.0,0.1979610804781201,0.0,0.0,0.0,0.0,0.0,0.1286957950065703,0.0,0.0,0.0
