gene,Cerebellum-Astrocytes,Cerebellum-Granule_neurons,Cerebellum-Inhibitory_interneurons,Cerebellum-Microglia,Cerebellum-Oligodendrocytes,Cerebellum-Purkinje_neurons,Cerebellum-SLC24A4_PEX5L_positive_cells,Cerebellum-Unipolar_brush_cells,Cerebellum-Vascular_endothelial_cells
ENSG00000013375,0.0,0.12485799972970756,0.0,0.0,0.080511625939849,0.0,0.0038568507588129324,0.0,0.025254437905389546
ENSG00000013503,0.0,0.0,0.0,0.0,0.0010115606936416184,0.371412010143041,0.1407751977791023,0.0,0.0
ENSG00000013619,0.0,0.0,0.5636278856464562,0.0,0.4464100612526396,0.0,0.0,0.0,0.0
ENSG00000013810,0.23127840607951844,0.0,0.0,0.04705578693392057,0.026935285545847266,0.0,0.028193291107947896,0.0,0.06570987185027799
ENSG00000014138,0.18522238651353543,0.0,0.0,0.10479063862586326,0.05137536707594876,0.0,0.0,0.0,0.0002317880794701987
ENSG00000014641,0.0,0.0,0.0,0.0,0.0,0.14582037172029816,0.1864119582630245,0.0,0.0009021922428330522
ENSG00000014824,0.0,0.0,0.0,0.0013816172193135544,0.0,0.16685121668363936,0.045369503107366094,0.0,0.0
ENSG00000015153,0.0,0.016214261822291024,0.008694530272323557,0.0,0.0,0.0788075888624662,0.022001534004087,0.0,0.0
ENSG00000015171,0.0,0.0,0.0,0.0,9.758001561280248e-05,0.23492274949351585,0.09038661755341987,0.0,0.00971731193203529
ENSG00000015413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9233256769471878
ENSG00000015475,0.0,0.008619691413276788,0.0,0.007460437768944287,0.0,0.04847346713212632,0.08863928553329502,0.009147404688008481,0.010325516489920755
ENSG00000015479,0.0,0.012693876158104848,0.0003662109375,0.0,0.005743740795287188,0.10931226731114352,0.009173379428506758,0.0,0.010109067299918265
